time,bee1_id,bee2_id,task_id,task_1,task_2,task_3,task_4,task_5
811.3092374557866,5,4,3,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
812.0733463796257,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
812.4616499092181,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
812.5516645763855,1,4,1,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
813.3484808597237,2,4,1,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
814.031689763636,5,1,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
814.9491171581873,3,4,3,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
815.0790261807795,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
818.6319863667908,1,4,5,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
818.8204298621455,4,3,4,0.2343,0.1023,0.19518285187461587,0.0738,0.11633307530686719
822.0602259970103,2,4,1,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
822.565004614994,1,4,1,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
827.2174079928723,1,2,5,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
827.8495417046323,5,4,3,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
830.312943582206,3,5,1,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
831.4276491679199,1,5,1,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
832.2098816380066,5,4,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
832.3247258366979,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
834.5416239848754,5,4,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
836.7376374548411,5,1,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
837.0006377404052,2,5,3,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
